Strike,BidVolP,AskVolP,BidVolC,AskVolC,Symbol,LocalTime
2.45,,,0.5339080552789099,0.6154244370775681,10000498,2016-Feb-16 09:30:16.194735
2.5,,,0.5762618472866967,0.6628509110975604,10000499,2016-Feb-16 09:30:16.194791
2.55,,,0.6591713582553164,0.7089100767227042,10000500,2016-Feb-16 09:30:16.194872
2.6,,,0.6575666220970958,0.7308525910088696,10000501,2016-Feb-16 09:30:16.194895
2.55,NaN,NaN,,,10000505,2016-Feb-16 09:30:35.707840
2.4,NaN,1.1468800876622152,,,10000502,2016-Feb-16 09:30:36.695071
2.45,NaN,2.0252209792665252,,,10000503,2016-Feb-16 09:30:36.695133
2.5,0.766402681118628,2.0402525704329952,,,10000504,2016-Feb-16 09:30:36.695167
2.6,NaN,2.2132513426201,,,10000506,2016-Feb-16 09:30:36.695185
2.35,,,0.49907432385865863,0.5301743195432498,10000508,2016-Feb-16 09:30:38.152041
2.3,,,0.4637396092309941,0.49825299787352473,10000507,2016-Feb-16 09:30:46.264144
2.25,NaN,1.612712211869226,,,10000514,2016-Feb-16 09:30:46.264387
2.2,NaN,0.6380730357694842,,,10000513,2016-Feb-16 09:30:47.251819
2.4,,,0.5249414524447229,0.566521440020735,10000497,2016-Feb-16 09:30:50.732113
2.25,,,0.431685700876282,0.45702559276984306,10000512,2016-Feb-16 09:30:52.248091
2.0,,,0.3667278433754411,0.38189703339700687,10000533,2016-Feb-16 09:30:54.725411
2.1,NaN,0.4796395442314111,,,10000521,2016-Feb-16 09:30:55.718885
2.15,NaN,0.5469657287207631,,,10000522,2016-Feb-16 09:30:57.225048
1.85,,,0.324256933464119,0.45513764604772466,10000547,2016-Feb-16 09:30:57.732684
1.9,0.3487218017753632,0.36172529257830177,,,10000550,2016-Feb-16 09:30:58.231175
2.35,NaN,1.8310951615396087,,,10000510,2016-Feb-16 09:30:58.737448
2.1,,,0.39515914980672245,0.4248255072586042,10000519,2016-Feb-16 09:30:58.737495
2.15,,,0.3945887444053933,0.4101920058693822,10000520,2016-Feb-16 09:30:58.737515
1.9,,,0.3456952311822185,0.363707471186429,10000548,2016-Feb-16 09:30:58.737588
